readable,original
dog_hybrid_breed__collie_rough_and_smooth,Collie (Rough) & (Smooth)
dog_hybrid_breed__coton_de_tulear,Coton de Tulear
dog_hybrid_breed__curly_coated_retriever,Curly Coated Retriever
dog_hybrid_breed__dachshund,Dachshund
dog_hybrid_breed__dalmatian,Dalmatian
dog_hybrid_breed__dandie_dinmont_terrier,Dandie Dinmont Terrier
dog_hybrid_breed__doberman_pinscher,Doberman Pinscher
dog_hybrid_breed__dogo_argentino,Dogo Argentino
dog_hybrid_breed__english_foxhound,English Foxhound
dog_hybrid_breed__english_setter,English Setter
dog_hybrid_breed__english_springer_spaniel,English Springer Spaniel
dog_hybrid_breed__english_toy_spaniel,English Toy Spaniel
dog_hybrid_breed__entlebucher_mountain_dog,Entlebucher Mountain Dog
dog_hybrid_breed__field_spaniel,Field Spaniel
dog_hybrid_breed__finnish_lapphund,Finnish Lapphund
dog_hybrid_breed__finnish_spitz,Finnish Spitz
dog_hybrid_breed__flat_coated_retriever,Flat Coated Retriever
dog_hybrid_breed__fox_terrier_smooth,Fox Terrier – Smooth
dog_hybrid_breed__fox_terrier_wirehair,Fox Terrier – Wirehair
dog_hybrid_breed__french_bulldog,French Bulldog
dog_hybrid_breed__german_pinscher,German Pinscher
dog_hybrid_breed__german_shepherd_dog,German Shepherd Dog
dog_hybrid_breed__german_shorthaired_pointer,German Shorthaired Pointer
dog_hybrid_breed__german_wirehaired_pointer,German Wirehaired Pointer
dog_hybrid_breed__giant_schnauzer,Giant Schnauzer
dog_hybrid_breed__glen_imaal_terrier,Glen Imaal Terrier
dog_hybrid_breed__golden_retriever,Golden Retriever
dog_hybrid_breed__gordon_setter,Gordon Setter
dog_hybrid_breed__grand_basset,Grand Basset
dog_hybrid_breed__great_dane,Great Dane
dog_hybrid_breed__great_pyrenees,Great Pyrenees
dog_hybrid_breed__great_swiss_mountain_dog,Great Swiss Mountain Dog
dog_hybrid_breed__greyhound,Greyhound
dog_hybrid_breed__griffon_vendeen,Griffon Vendéen
dog_hybrid_breed__harrier,Harrier
dog_hybrid_breed__havanese,Havanese
dog_hybrid_breed__ibizan_hound,Ibizan Hound
dog_hybrid_breed__irish_setter,Irish Setter
dog_hybrid_breed__irish_terrier,Irish Terrier
dog_hybrid_breed__irish_water_spaniel,Irish Water Spaniel
dog_hybrid_breed__irish_wolfhound,Irish Wolfhound
dog_hybrid_breed__icelandic_sheepdog,Icelandic Sheepdog
dog_hybrid_breed__italian_greyhound,Italian Greyhound
dog_hybrid_breed__japanese_chin,Japanese Chin
dog_hybrid_breed__keeshond,Keeshond
dog_hybrid_breed__kerry_blue_terrier,Kerry Blue Terrier
dog_hybrid_breed__komondor,Komondor
dog_hybrid_breed__kuvasz,Kuvasz
dog_hybrid_breed__labrador_retriever,Labrador Retriever
dog_hybrid_breed__lagotto_romagnolo,Lagotto Romagnolo
dog_hybrid_breed__lakeland_terrier,Lakeland Terrier
dog_hybrid_breed__leonberger,Leonberger
dog_hybrid_breed__lhasa_apso,Lhasa Apso
dog_hybrid_breed__lowchen,Lowchen (Little Lion Dog)
dog_hybrid_breed__maltese,Maltese
dog_hybrid_breed__manchester_terrier,Manchester Terrier( Standard & Toy)
dog_hybrid_breed__mastiff,Mastiff
dog_hybrid_breed__miniature_american_shepherd,Miniature American Shepherd
dog_hybrid_breed__miniature_bull_terrier,Miniature Bull Terrier
dog_hybrid_breed__miniature_pinscher,Miniature Pinscher
dog_hybrid_breed__miniature_schnauzer,Miniature Schnauzer
dog_hybrid_breed__neapolitan_mastiff,Neapolitan Mastiff
dog_hybrid_breed__newfoundland,Newfoundland
dog_hybrid_breed__norfolk_terrier,Norfolk Terrier
dog_hybrid_breed__norrbottenspets,Norrbottenspets
dog_hybrid_breed__norwegian_elkhound,Norwegian Elkhound
dog_hybrid_breed__norwegian_lundehund,Norwegian Lundehund
dog_hybrid_breed__norwich_terrier,Norwich Terrier
dog_hybrid_breed__nova_scotia_duck_tolling_retriever,Nova Scotia Duck Tolling Retriever
dog_hybrid_breed__old_english_sheepdog,Old English Sheepdog (Bobtail)
dog_hybrid_breed__otterhound,Otterhound
dog_hybrid_breed__papillon,Papillon
dog_hybrid_breed__parson_russell_terrier,Parson Russell Terrier
dog_hybrid_breed__pekingese,Pekingese
dog_hybrid_breed__pembroke_welsh_corgi,Pembroke Welsh Corgi
dog_hybrid_breed__peruvian_inca_orchid,Peruvian Inca Orchid
dog_hybrid_breed__petit_basset_griffon_vendeen,Petit Basset Griffon Vendeen
dog_hybrid_breed__pharaoh_hound,Pharaoh Hound
dog_hybrid_breed__plott_hound,Plott Hound
dog_hybrid_breed__pointer,Pointer
dog_hybrid_breed__polish_lowland_sheepdog,Polish Lowland Sheepdog
dog_hybrid_breed__pomeranian,Pomeranian
dog_hybrid_breed__poodle_miniature,Poodle (Miniature)
dog_hybrid_breed__poodle_standard,Poodle (Standard)
dog_hybrid_breed__poodle_toy,Poodle (Toy)
dog_hybrid_breed__portuguese_podengo,Portuguese Podengo
dog_hybrid_breed__portuguese_podengo_pequeno,Portuguese Podengo Pequeno
dog_hybrid_breed__portuguese_water_dog,Portuguese Water Dog
dog_hybrid_breed__pug,Pug
dog_hybrid_breed__puli,Puli
dog_hybrid_breed__pumi,Pumi
dog_hybrid_breed__rat_terrier,Rat Terrier
dog_hybrid_breed__redbone_coonhound,Redbone Coonhound
dog_hybrid_breed__rhodesian_ridgeback,Rhodesian Ridgeback
dog_hybrid_breed__rottweiler,Rottweiler
dog_hybrid_breed__russell_terrier,Russell Terrier
dog_hybrid_breed__saint_bernard,Saint Bernard
dog_hybrid_breed__saluki,Saluki
dog_hybrid_breed__sloughi,Sloughi
dog_hybrid_breed__samoyed,Samoyed
dog_hybrid_breed__schipperke,Schipperke
dog_hybrid_breed__scottish_deerhound,Scottish Deerhound
dog_hybrid_breed__scottish_terrier,Scottish Terrier
dog_hybrid_breed__sealyham_terrier,Sealyham Terrier
dog_hybrid_breed__shetland_sheepdog,Shetland Sheepdog (Sheltie)
dog_hybrid_breed__shiba_inu,Shiba Inu
dog_hybrid_breed__shih_tzu,Shih Tzu
dog_hybrid_breed__siberian_husky,Siberian Husky
dog_hybrid_breed__silky_terrier,Silky Terrier
dog_hybrid_breed__skye_terrier,Skye Terrier
dog_hybrid_breed__soft_coated_wheaten_terrier,Soft-Coated Wheaten Terrier
dog_hybrid_breed__spanish_water_dog,Spanish Water Dog
dog_hybrid_breed__spinone_italiano,Spinone Italiano
dog_hybrid_breed__staffordshire_bull_terrier,Staffordshire Bull Terrier
dog_hybrid_breed__standard_schnauzer,Standard Schnauzer
dog_hybrid_breed__sussex_spaniel,Sussex Spaniel
dog_hybrid_breed__tibetan_mastiff,Tibetan Mastiff
dog_hybrid_breed__tibetan_spaniel,Tibetan Spaniel
dog_hybrid_breed__tibetan_terrier,Tibetan Terrier
dog_hybrid_breed__toy_fox_terrier,Toy Fox Terrier
dog_hybrid_breed__treeing_walker_coonhound,Treeing Walker Coonhound
dog_hybrid_breed__vizsla,Vizsla
dog_hybrid_breed__weimaraner,Weimaraner
dog_hybrid_breed__welsh_springer_spaniel,Welsh Springer Spaniel
dog_hybrid_breed__welsh_terrier,Welsh Terrier
dog_hybrid_breed__west_highland_white_terrier,West Highland White Terrier
dog_hybrid_breed__whippet,Whippet
dog_hybrid_breed__wirehaired_pointing_griffon,Wirehaired Pointing Griffon
dog_hybrid_breed__wirehaired_vizsla,Wirehaired Vizsla
dog_hybrid_breed__xoloitzcuintli,Xoloitzcuintli
dog_hybrid_breed__yorkshire_terrier,Yorkshire Terrier
dog_personality__friendly_to_familiar_people,Friendly to familiar people
dog_personality__friendly_to_strangers,Friendly to strangers
dog_personality__calm,Calm.1
dog_personality__playful,Playful
dog_personality__obedient,Obedient
dog_personality__curious,Curious
dog_personality__chase_prone,Chase-prone
dog_personality__vocal,Vocal
dog_personality__pushy,Pushy
